,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,SALARY,AGE
1630264.0,Anthony Gill,Wizards,Forward,204.22,104.33,USA,1992-10-17,1,Undrafted,70,9.7,3.7,1.9,0.5,0.2,0.2,1517981,"29 years, 6 months, 10 days"
203497.0,Rudy Gobert,Jazz,Center,216.41,117.03,France,1992-06-26,8,27,611,30.0,12.4,11.7,1.3,0.7,2.2,35344828,"29 years, 10 months, 1 days"
1629164.0,Brandon Goodwin,Cavaliers,Guard,182.88,81.65,USA,1995-10-02,3,Undrafted,133,12.1,4.7,1.6,1.9,0.4,0.0,0,"26 years, 6 months, 25 days"
203932.0,Aaron Gordon,Nuggets,Forward,207.26,106.59,USA,1995-09-16,7,4,528,28.9,13.0,6.3,2.5,0.7,0.6,16409091,"26 years, 7 months, 10 days"
201569.0,Eric Gordon,Rockets,Guard,192.02,97.52,USA,1988-12-25,13,7,749,32.4,16.4,2.4,2.8,0.9,0.3,18218818,"33 years, 4 months, 3 days"
1628984.0,Devonte' Graham,Pelicans,Guard,185.93,88.45,USA,1995-02-22,3,34,240,27.9,12.8,2.5,5.0,0.9,0.1,11000000,"27 years, 2 months, 4 days"
203924.0,Jerami Grant,Pistons,Forward,207.26,95.25,USA,1994-03-12,7,39,555,26.0,11.4,3.9,1.3,0.6,1.1,20000000,"28 years, 1 months, 16 days"
201980.0,Danny Green,76ers,Guard,201.17,97.52,USA,1987-06-22,12,46,819,25.3,8.7,3.4,1.6,1.0,0.8,10000000,"34 years, 10 months, 7 days"
203110.0,Draymond Green,Warriors,Forward,201.17,104.33,USA,1990-03-04,9,35,685,28.5,8.7,6.9,5.4,1.4,1.0,24026712,"32 years, 1 months, 25 days"
203210.0,JaMychal Green,Nuggets,Forward,207.26,102.97,USA,1990-06-21,7,Undrafted,487,20.8,7.9,5.7,0.9,0.6,0.4,8292683,"31 years, 10 months, 7 days"
1630224.0,Jalen Green,Rockets,Guard,195.07,84.37,USA,2002-02-09,0,2,67,31.9,17.3,3.4,2.6,0.7,0.3,8992200,"20 years, 2 months, 14 days"
1629750.0,Javonte Green,Bulls,Guard,198.12,92.99,USA,1993-07-23,2,Undrafted,154,16.0,5.0,2.9,0.7,0.8,0.3,1669178,"28 years, 9 months, 5 days"
201145.0,Jeff Green,Nuggets,Forward,207.26,106.59,USA,1986-08-28,14,5,1051,29.0,12.6,4.3,1.5,0.7,0.5,4500000,"35 years, 8 months, 1 days"
1630182.0,Josh Green,Mavericks,Guard,198.12,90.72,Australia,2000-11-16,1,18,106,14.0,4.0,2.3,1.0,0.6,0.2,2957520,"21 years, 5 months, 8 days"
201933.0,Blake Griffin,Nets,Forward,210.31,113.4,USA,1989-03-16,12,1,724,32.9,19.8,8.2,4.1,0.8,0.5,32405817,"33 years, 1 months, 13 days"
1629656.0,Quentin Grimes,Knicks,Guard,195.07,95.25,USA,2000-05-08,0,25,46,17.1,6.0,2.0,1.0,0.7,0.2,2168760,"21 years, 11 months, 18 days"
1629060.0,Rui Hachimura,Wizards,Forward,207.26,104.33,Japan,1998-02-08,2,9,147,28.5,13.0,5.2,1.5,0.7,0.2,4916160,"24 years, 2 months, 16 days"
1630169.0,Tyrese Haliburton,Pacers,Guard,198.12,83.91,USA,2000-02-29,1,12,135,32.9,14.3,3.6,6.9,1.6,0.6,4023600,"22 years, 1 months, 26 days"
1630181.0,R.J. Hampton,Magic,Guard,195.07,79.38,USA,2001-02-07,1,24,115,19.9,7.3,3.2,2.1,0.5,0.2,2303040,"21 years, 2 months, 16 days"
203501.0,Tim Hardaway,Mavericks,Guard,198.12,92.99,USA,1992-03-16,8,24,586,27.0,13.9,2.8,1.9,0.6,0.1,21306816,"30 years, 1 months, 12 days"
201935.0,James Harden,76ers,Guard,198.12,99.79,USA,1989-08-26,12,3,942,34.6,24.9,5.6,6.8,1.5,0.5,43848000,"32 years, 8 months, 2 days"
203090.0,Maurice Harkless,Kings,Forward,204.22,99.79,USA,1993-05-11,9,15,621,22.6,6.9,3.5,0.9,0.9,0.6,4347600,"28 years, 11 months, 17 days"
1629607.0,Jared Harper,Pelicans,Guard,155.45,79.38,USA,1997-09-14,2,Undrafted,16,4.2,2.6,0.3,0.9,0.3,0.1,0,"24 years, 7 months, 11 days"
1626149.0,Montrezl Harrell,Hornets,Forward,204.22,108.86,USA,1994-01-26,6,32,458,21.5,12.9,5.3,1.4,0.6,0.8,9720900,"28 years, 3 months, 0 days"
203914.0,Gary Harris,Magic,Guard,195.07,95.25,USA,1994-09-14,7,19,468,28.8,11.8,2.5,2.1,1.2,0.2,20482143,"27 years, 7 months, 12 days"
203925.0,Joe Harris,Nets,Guard,201.17,99.79,USA,1991-09-06,7,33,414,25.6,11.1,3.2,1.6,0.5,0.2,17357143,"30 years, 7 months, 21 days"
202699.0,Tobias Harris,76ers,Forward,204.22,102.51,USA,1992-07-15,10,19,753,31.4,16.4,6.2,2.3,0.7,0.5,36000000,"29 years, 9 months, 13 days"
1628404.0,Josh Hart,Trail Blazers,Guard,198.12,97.52,USA,1995-03-06,4,30,296,27.3,9.9,5.7,2.1,0.9,0.4,12000000,"27 years, 1 months, 22 days"
1628392.0,Isaiah Hartenstein,Clippers,Center,213.36,113.4,Germany,1998-05-05,3,43,165,13.7,5.8,3.9,1.5,0.5,0.8,3430810,"23 years, 11 months, 22 days"
2617.0,Udonis Haslem,Heat,Forward,207.26,106.59,USA,1980-06-09,18,Undrafted,872,24.8,7.5,6.6,0.8,0.5,0.3,2641691,"41 years, 10 months, 21 days"
1630573.0,Sam Hauser,Celtics,Forward,204.22,98.43,USA,1997-12-08,0,Undrafted,26,6.1,2.5,1.1,0.4,0.0,0.1,313737,"24 years, 4 months, 18 days"
1629637.0,Jaxson Hayes,Pelicans,Center,186.23,99.79,USA,2000-05-23,2,8,194,17.7,8.1,4.3,0.7,0.4,0.8,5348280,"21 years, 11 months, 3 days"
1630165.0,Killian Hayes,Pistons,Guard,198.12,88.45,France,2001-07-27,1,7,92,25.2,6.8,3.0,4.5,1.1,0.5,5572680,"20 years, 8 months, 29 days"
202330.0,Gordon Hayward,Hornets,Forward,204.22,102.06,USA,1990-03-23,11,9,734,31.1,15.6,4.5,3.5,1.0,0.4,29900000,"32 years, 1 months, 6 days"
1627823.0,Juancho Hernangomez,Jazz,Forward,210.31,97.07,Spain,1995-09-28,5,15,297,15.7,5.4,3.4,0.6,0.4,0.2,6175440,"26 years, 6 months, 29 days"
1626195.0,Willy Hernangomez,Pelicans,Center,186.23,113.4,Spain,1994-05-27,5,35,306,15.3,7.4,5.9,1.1,0.4,0.4,2327220,"27 years, 11 months, 1 days"
1629639.0,Tyler Herro,Heat,Guard,198.12,88.45,USA,2000-01-20,2,13,175,30.3,16.7,4.7,3.2,0.6,0.2,4004280,"22 years, 3 months, 5 days"
1627741.0,Buddy Hield,Pacers,Guard,195.07,99.79,Bahamas,1992-12-17,5,6,468,29.2,15.9,4.3,2.5,0.8,0.3,22477273,"29 years, 4 months, 10 days"
1629312.0,Haywood Highsmith,Heat,Forward,195.07,99.79,USA,1996-12-09,3,,24,8.5,2.2,1.3,0.3,0.1,0.1,290967,"25 years, 4 months, 17 days"
201588.0,George Hill,Bucks,Guard,195.07,85.28,USA,1986-05-04,13,26,869,27.2,10.7,3.0,3.1,0.9,0.3,4000000,"35 years, 11 months, 26 days"
1630792.0,Malcolm Hill,Bulls,Forward,201.17,99.79,USA,1995-10-26,0,Undrafted,19,11.2,3.8,1.8,0.4,0.4,0.2,0,"26 years, 6 months, 1 days"
1630207.0,Nate Hinton,Pacers,Guard,198.12,95.25,USA,1999-06-08,1,Undrafted,23,4.2,1.8,0.4,0.3,0.3,0.1,0,"22 years, 10 months, 18 days"
1628988.0,Aaron Holiday,Suns,Guard,182.88,83.91,USA,1996-09-30,3,23,245,18.2,7.3,1.8,2.4,0.7,0.2,3980551,"25 years, 6 months, 26 days"
201950.0,Jrue Holiday,Bucks,Guard,192.02,92.99,USA,1990-06-12,12,17,839,33.2,16.2,4.0,6.4,1.5,0.5,30133333,"31 years, 10 months, 16 days"
203200.0,Justin Holiday,Kings,Forward,201.17,81.65,USA,1989-04-05,9,Undrafted,576,24.6,8.7,3.0,1.5,1.0,0.4,6006420,"33 years, 0 months, 23 days"
1626158.0,Richaun Holmes,Kings,Forward,185.93,106.59,USA,1993-10-15,6,37,376,21.1,9.6,5.8,1.1,0.6,1.1,10384500,"28 years, 6 months, 12 days"
203918.0,Rodney Hood,Clippers,Guard,207.26,94.35,USA,1992-10-20,7,23,448,24.5,10.4,2.6,1.6,0.7,0.2,2239544,"29 years, 6 months, 7 days"
201143.0,Al Horford,Celtics,Center,210.31,108.86,Dominican Republic,1986-06-03,14,3,950,32.2,13.7,8.2,3.3,0.8,1.2,27000000,"35 years, 10 months, 26 days"
1629659.0,Talen Horton-Tucker,Lakers,Guard,195.07,106.14,USA,2000-11-25,2,46,131,22.1,9.3,2.8,2.6,1.0,0.4,9500000,"21 years, 4 months, 29 days"
1627863.0,Danuel House,Jazz,Forward,201.17,99.79,USA,1993-06-07,5,Undrafted,204,24.4,8.5,3.6,1.3,0.7,0.4,2045094,"28 years, 10 months, 20 days"
2730.0,Dwight Howard,Lakers,Center,185.93,120.2,USA,1985-12-08,17,1,1242,31.8,15.7,11.8,1.3,0.9,1.8,2641691,"36 years, 4 months, 21 days"
1628989.0,Kevin Huerter,Hawks,Guard,204.22,89.81,USA,1998-08-27,3,19,274,29.6,11.4,3.5,3.2,0.9,0.4,4253357,"23 years, 7 months, 29 days"
1630190.0,Elijah Hughes,Trail Blazers,Guard,198.12,97.52,USA,1998-03-10,1,39,54,9.2,2.9,1.2,0.5,0.3,0.2,1517981,"24 years, 1 months, 17 days"
1630624.0,Feron Hunt,Knicks,Forward,207.26,88.45,USA,1999-07-05,0,Undrafted,2,4.2,0.0,0.5,0.5,0.5,0.0,0,"22 years, 9 months, 21 days"
1629631.0,De'Andre Hunter,Hawks,Forward,207.26,100.24,USA,1997-12-02,2,4,139,30.7,13.2,4.1,1.6,0.7,0.4,7775400,"24 years, 4 months, 23 days"
1630538.0,Bones Hyland,Nuggets,Guard,188.98,76.66,USA,2000-09-14,0,26,69,19.0,10.1,2.7,2.8,0.6,0.3,2096880,"21 years, 7 months, 10 days"
201586.0,Serge Ibaka,Bucks,Forward,185.93,106.59,Republic of the Congo,1989-09-18,12,24,903,27.6,12.1,7.2,0.8,0.4,1.9,9742000,"32 years, 7 months, 9 days"
2738.0,Andre Iguodala,Warriors,Guard,201.17,97.52,USA,1984-01-28,17,9,1223,32.2,11.4,4.9,4.2,1.4,0.5,2641691,"38 years, 3 months, 1 days"
204060.0,Joe Ingles,Trail Blazers,Forward,207.26,99.79,Australia,1987-10-02,7,Undrafted,590,25.7,8.6,3.2,3.8,0.9,0.2,14000000,"34 years, 6 months, 27 days"
1627742.0,Brandon Ingram,Pelicans,Forward,207.26,86.18,USA,1997-09-02,5,2,368,32.8,18.5,5.2,3.8,0.7,0.6,29467800,"24 years, 7 months, 23 days"
202681.0,Kyrie Irving,Nets,Guard,188.98,88.45,Australia,1992-03-23,10,1,611,34.0,23.1,3.8,5.7,1.3,0.4,34916200,"30 years, 1 months, 5 days"
1628371.0,Jonathan Isaac,Magic,Forward,185.93,104.33,USA,1997-10-03,4,6,136,25.8,9.3,5.4,1.1,1.1,1.5,17400000,"24 years, 6 months, 23 days"
1628402.0,Frank Jackson,Pistons,Guard,192.02,92.99,USA,1998-05-04,4,31,213,18.2,8.5,1.8,1.0,0.4,0.1,3000000,"23 years, 11 months, 23 days"
1630543.0,Isaiah Jackson,Pacers,Forward,185.93,92.99,USA,2002-01-10,0,22,36,15.0,8.3,4.1,0.3,0.7,1.4,2451120,"20 years, 3 months, 14 days"
1628367.0,Josh Jackson,Kings,Guard,207.26,93.89,USA,1997-02-10,4,4,291,23.1,11.3,4.0,1.8,0.9,0.6,5005350,"25 years, 2 months, 14 days"
202704.0,Reggie Jackson,Clippers,Guard,188.98,94.35,USA,1990-04-16,10,24,703,25.6,13.1,3.0,4.3,0.7,0.1,10384500,"32 years, 0 months, 12 days"
1628991.0,Jaren Jackson,Grizzlies,Forward,186.23,109.77,USA,1999-09-15,3,4,204,27.1,15.8,5.1,1.2,0.9,1.8,9180560,"22 years, 7 months, 10 days"
2544.0,LeBron James,Lakers,Forward,210.31,113.4,USA,1984-12-30,18,1,1366,38.2,27.1,7.5,7.4,1.6,0.8,41180544,"37 years, 3 months, 29 days"
1629660.0,Ty Jerome,Thunder,Guard,198.12,88.45,USA,1997-07-08,2,24,112,17.1,7.1,1.9,2.4,0.6,0.1,2412840,"24 years, 9 months, 18 days"
1630198.0,Isaiah Joe,76ers,Guard,195.07,74.84,USA,1999-07-02,1,49,96,10.3,3.7,1.0,0.6,0.3,0.1,1517981,"22 years, 9 months, 24 days"
1629661.0,Cameron Johnson,Suns,Forward,207.26,95.25,USA,1996-03-03,2,11,183,24.2,10.4,3.6,1.4,0.7,0.3,4437000,"26 years, 1 months, 24 days"
1630552.0,Jalen Johnson,Hawks,Forward,207.26,99.34,USA,2001-12-18,0,20,22,5.5,2.4,1.2,0.1,0.1,0.1,2659560,"20 years, 4 months, 7 days"
1629640.0,Keldon Johnson,Spurs,Forward,201.17,99.79,USA,1999-10-11,2,29,161,28.9,14.4,5.8,1.8,0.7,0.2,2145720,"22 years, 6 months, 15 days"
1630553.0,Keon Johnson,Trail Blazers,Guard,195.07,83.91,USA,2002-03-10,0,21,37,18.8,7.2,2.2,2.1,0.8,0.3,2553120,"20 years, 1 months, 16 days"
1626169.0,Stanley Johnson,Lakers,Forward,201.17,109.77,USA,1996-05-29,6,8,419,20.1,6.3,3.1,1.5,0.9,0.2,888616,"25 years, 10 months, 28 days"
203999.0,Nikola Jokic,Nuggets,Center,186.23,128.82,Serbia,1995-02-19,6,41,527,30.4,19.7,10.4,6.2,1.2,0.7,30510423,"27 years, 2 months, 7 days"
1627745.0,Damian Jones,Kings,Center,186.23,111.13,USA,1995-06-30,5,30,199,15.2,5.6,3.4,0.8,0.4,0.7,1977011,"26 years, 9 months, 27 days"
1630529.0,Herbert Jones,Pelicans,Forward,204.22,93.44,USA,1998-10-06,0,35,78,29.9,9.5,3.8,2.1,1.7,0.8,1700000,"23 years, 6 months, 20 days"
1630539.0,Kai Jones,Hornets,Center,185.93,100.24,Bahamas,2001-01-19,0,19,21,3.0,1.0,0.5,0.2,0.0,0.1,2770560,"21 years, 3 months, 5 days"
1630200.0,Tre Jones,Spurs,Guard,185.93,83.91,USA,2000-01-08,1,41,106,13.4,4.8,1.7,2.6,0.5,0.1,1517981,"22 years, 3 months, 17 days"
1626145.0,Tyus Jones,Grizzlies,Guard,182.88,88.9,USA,1996-05-10,6,24,455,18.4,6.2,1.8,3.7,1.0,0.1,7522200,"25 years, 11 months, 17 days"
1627884.0,Derrick Jones,Bulls,Forward,201.17,95.25,USA,1997-02-15,5,Undrafted,280,19.8,6.5,3.4,0.7,0.7,0.7,9720900,"25 years, 2 months, 10 days"
201599.0,DeAndre Jordan,76ers,Center,186.23,120.2,USA,1988-07-21,13,35,980,26.7,9.1,10.3,1.0,0.5,1.5,11109327,"33 years, 9 months, 8 days"
202709.0,Cory Joseph,Pistons,Guard,192.02,90.72,Canada,1991-08-20,10,29,728,22.2,7.1,2.6,3.0,0.8,0.2,7310000,"30 years, 8 months, 8 days"
1628379.0,Luke Kennard,Clippers,Guard,198.12,93.44,USA,1996-06-24,4,12,297,23.5,10.0,2.9,2.0,0.5,0.1,12727273,"25 years, 10 months, 2 days"
1630296.0,Braxton Key,Pistons,Forward,207.26,102.06,USA,1997-02-14,0,Undrafted,11,17.9,7.2,4.5,1.0,0.9,1.0,0,"25 years, 2 months, 11 days"
1630557.0,Corey Kispert,Wizards,Forward,201.17,101.6,USA,1999-03-03,0,15,77,23.4,8.2,2.7,1.1,0.5,0.3,3383640,"23 years, 1 months, 24 days"
1628467.0,Maxi Kleber,Mavericks,Forward,185.93,108.86,Germany,1992-01-29,4,Undrafted,326,22.7,7.1,4.8,1.1,0.4,0.9,8750000,"30 years, 2 months, 28 days"
1628995.0,Kevin Knox,Hawks,Forward,204.22,97.52,USA,1999-08-11,3,9,212,18.9,7.7,2.9,0.8,0.4,0.3,5845978,"22 years, 8 months, 15 days"
1629723.0,John Konchar,Grizzlies,Guard,198.12,95.25,USA,1996-03-22,2,Undrafted,134,15.3,4.4,3.8,1.3,0.6,0.3,2197674,"26 years, 1 months, 5 days"
1627788.0,Furkan Korkmaz,76ers,Guard,204.22,91.63,Turkey,1997-07-24,4,26,256,18.7,7.9,2.2,1.3,0.6,0.1,4629630,"24 years, 9 months, 3 days"
1628436.0,Luke Kornet,Celtics,Center,219.46,113.4,USA,1995-07-15,4,Undrafted,148,14.3,5.5,2.6,1.0,0.3,0.8,606702,"26 years, 9 months, 13 days"
1630249.0,Vit Krejci,Thunder,Guard,207.26,88.45,Czech Republic,2000-06-19,0,37,30,23.0,6.2,3.4,1.9,0.6,0.3,925258,"21 years, 10 months, 6 days"
1630228.0,Jonathan Kuminga,Warriors,Forward,204.22,102.06,DRC,2002-10-06,0,7,70,16.9,9.3,3.3,0.9,0.4,0.3,5466360,"19 years, 6 months, 19 days"
1628398.0,Kyle Kuzma,Wizards,Forward,210.31,100.24,USA,1995-07-24,4,27,342,30.4,15.6,6.2,2.2,0.6,0.5,13000000,"26 years, 9 months, 4 days"
203897.0,Zach LaVine,Bulls,Guard,198.12,90.72,USA,1995-03-10,7,13,478,31.8,19.8,3.9,3.9,0.9,0.3,19500000,"27 years, 1 months, 18 days"
1630237.0,Anthony Lamb,Rockets,Forward,201.17,102.97,USA,1998-01-20,1,Undrafted,26,16.3,5.1,2.7,1.0,0.2,0.2,0,"24 years, 3 months, 5 days"
203087.0,Jeremy Lamb,Kings,Guard,198.12,81.65,USA,1992-05-30,9,12,573,20.8,10.1,3.6,1.6,0.7,0.4,10500000,"29 years, 10 months, 28 days"
1629111.0,Jock Landale,Spurs,Center,186.23,115.67,Australia,1995-10-25,0,Undrafted,54,10.9,4.9,2.6,0.8,0.2,0.3,925258,"26 years, 6 months, 2 days"
1629641.0,Romeo Langford,Spurs,Guard,198.12,97.98,USA,1999-10-25,2,14,98,14.5,3.6,1.9,0.5,0.4,0.3,3804360,"22 years, 6 months, 1 days"
1627774.0,Jake Layman,Timberwolves,Forward,207.26,94.8,USA,1994-03-07,5,47,243,12.8,4.8,1.7,0.5,0.4,0.3,3940184,"28 years, 1 months, 21 days"
1627747.0,Caris LeVert,Cavaliers,Guard,201.17,92.99,USA,1994-08-25,5,20,318,27.5,14.6,3.8,4.0,1.1,0.3,17500000,"27 years, 8 months, 2 days"
1627814.0,Damion Lee,Warriors,Guard,198.12,95.25,USA,1992-10-21,4,Undrafted,216,21.0,8.2,3.5,1.4,0.7,0.1,1910860,"29 years, 6 months, 6 days"
1630240.0,Saben Lee,Pistons,Guard,188.98,83.01,USA,1999-06-23,1,38,85,16.3,5.6,2.2,3.3,0.8,0.3,1489065,"22 years, 10 months, 3 days"
203458.0,Alex Len,Kings,Center,213.36,113.4,Ukraine,1993-06-16,8,5,570,18.9,7.7,5.9,0.9,0.4,1.0,3731707,"28 years, 10 months, 11 days"
202695.0,Kawhi Leonard,Clippers,Forward,204.22,102.06,USA,1991-06-29,10,15,576,31.3,19.2,6.4,2.9,1.8,0.6,39344900,"30 years, 9 months, 29 days"
1630184.0,Kira Lewis,Pelicans,Guard,185.93,77.11,USA,2001-04-06,1,13,78,16.0,6.2,1.4,2.2,0.6,0.1,3822240,"21 years, 0 months, 19 days"
203081.0,Damian Lillard,Trail Blazers,Guard,188.98,88.45,USA,1990-07-15,9,6,711,36.3,24.6,4.2,6.6,1.0,0.3,39344900,"31 years, 9 months, 14 days"
1629642.0,Nassir Little,Trail Blazers,Forward,198.12,99.79,USA,2000-02-11,2,25,138,16.7,5.8,3.4,0.7,0.3,0.5,2316240,"22 years, 2 months, 13 days"
1630587.0,Isaiah Livers,Pistons,Forward,201.17,105.23,USA,1998-07-28,0,42,19,20.2,6.4,3.0,1.1,0.7,0.4,1057260,"23 years, 8 months, 29 days"
1626172.0,Kevon Looney,Warriors,Forward,210.31,100.7,USA,1996-02-06,6,30,367,16.4,4.7,4.8,1.4,0.5,0.6,5178572,"26 years, 2 months, 19 days"
201572.0,Brook Lopez,Bucks,Center,213.36,127.91,USA,1988-04-01,13,10,868,30.2,16.4,6.2,1.4,0.6,1.8,13302325,"34 years, 0 months, 27 days"
201577.0,Robin Lopez,Magic,Center,213.36,127.46,USA,1988-04-01,13,15,939,21.9,8.7,4.9,0.8,0.2,1.1,5000000,"34 years, 0 months, 27 days"
1629712.0,Didi Louzada,Trail Blazers,Guard,198.12,85.28,Brazil,1999-07-02,1,35,12,15.5,3.6,1.7,0.7,0.3,0.2,1786878,"22 years, 9 months, 24 days"
201567.0,Kevin Love,Cavaliers,Forward,207.26,113.85,USA,1988-09-07,13,5,812,30.9,17.6,10.7,2.4,0.7,0.4,31300000,"33 years, 7 months, 20 days"
200768.0,Kyle Lowry,Heat,Guard,182.88,88.9,USA,1986-03-25,15,24,1023,31.9,14.8,4.4,6.3,1.3,0.3,26984128,"36 years, 1 months, 5 days"
1627789.0,Timothe Luwawu-Cabarrot,Hawks,Guard,204.22,97.52,France,1995-05-09,5,24,328,16.0,5.9,2.0,0.9,0.4,0.1,1939350,"26 years, 11 months, 19 days"
1626168.0,Trey Lyles,Kings,Forward,210.31,106.14,Canada,1995-11-05,6,12,449,18.3,7.8,4.3,1.1,0.4,0.3,2500000,"26 years, 5 months, 21 days"
1630177.0,Theo Maledon,Thunder,Guard,195.07,79.38,France,2001-06-12,1,34,116,23.2,8.8,2.9,2.9,0.8,0.2,2000000,"20 years, 10 months, 13 days"
1629611.0,Terance Mann,Clippers,Guard,198.12,97.52,USA,1996-10-18,2,48,189,20.9,7.6,3.8,1.9,0.5,0.2,1782621,"25 years, 6 months, 8 days"
1630544.0,Tre Mann,Thunder,Guard,192.02,80.74,USA,2001-02-03,0,18,60,22.8,10.4,2.9,1.5,0.8,0.2,2901240,"21 years, 2 months, 20 days"
1626246.0,Boban Marjanovic,Mavericks,Center,222.5,131.54,Serbia,1988-08-15,6,Undrafted,286,9.2,5.9,3.8,0.5,0.2,0.3,3500000,"33 years, 8 months, 13 days"
1628374.0,Lauri Markkanen,Cavaliers,Forward,186.23,108.86,Finland,1997-05-22,4,7,282,29.7,15.4,6.8,1.3,0.7,0.5,15690909,"24 years, 11 months, 5 days"
1630230.0,Naji Marshall,Pelicans,Forward,204.22,99.79,USA,1998-01-24,1,Undrafted,87,16.5,6.4,3.3,1.7,0.7,0.2,1517981,"24 years, 3 months, 1 days"
1628997.0,Caleb Martin,Heat,Forward,198.12,92.99,USA,1995-09-28,2,Undrafted,131,19.1,7.1,3.1,1.2,0.8,0.4,527614,"26 years, 6 months, 29 days"
1628998.0,Cody Martin,Hornets,Forward,201.17,92.99,USA,1995-09-28,2,36,171,21.2,5.8,3.5,2.1,1.0,0.3,1782621,"26 years, 6 months, 29 days"
1630231.0,Kenyon Martin,Rockets,Forward,198.12,97.52,USA,2001-01-06,1,52,124,22.0,9.0,4.3,1.2,0.5,0.7,1517981,"21 years, 3 months, 18 days"
1629726.0,Garrison Mathews,Rockets,Guard,198.12,97.52,USA,1996-10-24,2,Undrafted,147,20.3,7.5,2.0,0.7,0.6,0.2,1093598,"25 years, 6 months, 2 days"
202083.0,Wesley Matthews,Bucks,Guard,195.07,99.79,USA,1986-10-14,12,Undrafted,898,30.5,12.2,2.9,2.0,1.0,0.2,1958501,"35 years, 6 months, 15 days"
1630178.0,Tyrese Maxey,76ers,Guard,188.98,90.72,USA,2000-11-04,1,21,136,26.4,13.2,2.5,3.2,0.6,0.3,2602920,"21 years, 5 months, 20 days"
1630219.0,Skylar Mays,Hawks,Guard,195.07,92.99,USA,1997-09-05,1,50,61,8.0,3.3,1.0,0.8,0.3,0.0,34231,"24 years, 7 months, 20 days"
1630540.0,Miles McBride,Knicks,Guard,185.93,88.45,USA,2000-09-08,0,36,40,9.3,2.2,1.1,1.0,0.4,0.0,925258,"21 years, 7 months, 16 days"
1630644.0,Mac McClung,Lakers,Guard,188.98,83.91,USA,1999-01-06,0,Undrafted,2,12.2,4.0,1.5,0.5,0.5,0.5,0,"23 years, 3 months, 19 days"
203468.0,CJ McCollum,Pelicans,Guard,192.02,86.18,USA,1991-09-19,8,10,590,31.6,19.2,3.5,3.5,0.9,0.4,30864198,"30 years, 7 months, 8 days"
204456.0,T.J. McConnell,Pacers,Guard,185.93,86.18,USA,1992-03-25,6,,481,22.2,6.9,3.0,5.0,1.3,0.2,7500000,"30 years, 1 months, 3 days"
1630183.0,Jaden McDaniels,Timberwolves,Forward,210.31,83.91,USA,2000-09-29,1,28,133,24.9,8.1,3.9,1.1,0.7,0.9,2063280,"21 years, 6 months, 26 days"
1629667.0,Jalen McDaniels,Hornets,Forward,210.31,92.99,USA,1998-01-31,2,52,118,17.7,6.6,3.4,1.1,0.5,0.4,1782621,"24 years, 2 months, 24 days"
203926.0,Doug McDermott,Spurs,Forward,204.22,102.06,USA,1992-01-03,7,11,527,20.9,9.2,2.3,0.9,0.2,0.1,13750000,"30 years, 3 months, 24 days"
201580.0,JaVale McGee,Suns,Center,213.36,122.47,USA,1988-01-19,13,18,821,17.0,8.0,5.3,0.4,0.4,1.5,5000000,"34 years, 3 months, 9 days"
203585.0,Rodney McGruder,Pistons,Guard,195.07,92.99,USA,1991-07-29,5,Undrafted,285,19.8,5.8,2.8,1.2,0.5,0.2,1939350,"30 years, 9 months, 0 days"
1629162.0,Jordan McLaughlin,Timberwolves,Guard,155.75,83.91,USA,1996-04-09,2,Undrafted,143,17.0,5.0,1.8,3.5,1.0,0.1,1669178,"26 years, 0 months, 17 days"
203463.0,Ben McLemore,Trail Blazers,Guard,192.02,88.45,USA,1993-02-11,8,7,556,22.5,9.0,2.3,1.0,0.6,0.2,2389641,"29 years, 2 months, 14 days"
1629001.0,De'Anthony Melton,Grizzlies,Guard,188.98,90.72,USA,1998-05-28,3,46,235,20.7,8.4,3.6,2.8,1.3,0.5,8437500,"23 years, 10 months, 29 days"
1629002.0,Chimezie Metu,Kings,Forward,210.31,102.06,USA,1997-03-22,3,49,143,14.1,6.1,3.6,0.8,0.5,0.4,1762796,"25 years, 1 months, 5 days"
203114.0,Khris Middleton,Bucks,Forward,204.22,100.7,USA,1991-08-12,9,39,651,31.8,17.1,4.9,3.8,1.2,0.2,35500000,"30 years, 8 months, 16 days"
201988.0,Patty Mills,Nets,Guard,182.88,81.65,Australia,1988-08-11,12,55,820,20.7,9.2,1.7,2.3,0.7,0.1,5890000,"33 years, 8 months, 17 days"
200794.0,Paul Millsap,76ers,Forward,204.22,116.57,USA,1985-02-10,15,47,1085,28.1,13.4,7.1,2.2,1.2,1.0,2641691,"37 years, 2 months, 17 days"
1629003.0,Shake Milton,76ers,Guard,198.12,92.99,USA,1996-09-26,3,54,178,20.9,9.7,2.3,2.6,0.5,0.3,1846738,"25 years, 7 months, 0 days"
1630558.0,Davion Mitchell,Kings,Guard,182.88,91.63,USA,1998-09-05,0,9,75,27.7,11.5,2.2,4.2,0.7,0.3,4603320,"23 years, 7 months, 20 days"
1628378.0,Donovan Mitchell,Jazz,Guard,185.93,97.52,USA,1996-09-07,4,13,345,33.7,23.9,4.2,4.5,1.3,0.3,28103550,"25 years, 7 months, 18 days"
